en	hil
You know, sometimes patients can get very unreasonable. They may insist they are sick when they are not.	Kon kaisa, mahimo nga indi gid makatarunganon ang mga pasyente kay mahimo sila mag - insister nga nagamasakit sila kon indi.
What can you do when this happens?	Ano ang himuon mo kon matabo ini?
Not much, usually I'll just keep silent.	Sa masami, maghipos lang ako.
Have you eaten?	Nakaon ka na bala?
I must be going.	Dapat gid ako maglakat.
Okay. Keep in touch.	Indi magpa - stress.
Hi, I made a reservation for a mid-size vehicle. The name is Jimmy Fox.	Hi, naghimo ako sing isa ka bag - o nga salakyan nga ginatawag nga Jimmy, nga amo si Jimmy.
I ’ m sorry, we have no mid-size available at the moment.	Wala ako sing nakita nga mga chron, wala kami sing mga sag - ang sa tunga - tunga.
I don ’ t understand, I made a reservation, do you have my reservation?	Nahangpan ko ang nont, nag - untat ako sa pag - obra, may dala ka bala nga bag?
Yes, we do, unfortunately we ran out of cars.	Huo, makapasubo nga naubusan kami sing salakyan.
But the reservation keeps the car here. That ’ s why you have the reservation.	Pero ang kada isa sa ila may mga linya.
I know why we have reservations.	Nahibaluan ko kon ngaa nagaduhaduha kita.
I don ’ t think you do.If you did, I ’ d have a car.See, you know how to take the reservation, you just don ’ t know how to hold the reservation and that ’ s really the most important part of the reservation, the holding. Anybody can just take them.	Kon may salakyan ka, tan - awa kon paano mo ini himuon, indi ka makahibalo kon paano ini uyatan kag kon paano ini himuon.
But we do have a compact or an SUV if you ’ d like.	Apang may diutay kami ukon SUV kon ikaw Mga AMY d kaangay sini.
Fine. I ’ ll take the compact.	Maayo kay ako ang naga - scocle ll.
Alright. We have a blue Ford Focus for you, Mr. Fox. Would you like insurance?	May blue Ford nga Focus para sa imo, G.
Yeah, you better give me the insurance, because I am gonna beat the hell out of this car.	Yeah, mas maayo nga hatagan mo ako sing seguro, bangod ako si gona ang nagpussa sa impierno gikan sa sining salakyan.
What happened? Why didn't he win?	Ngaa wala sia magdaug?
Didn't you hear? He was disqualified.	Wala ka bala makabati, kag wala sia sing mahimo.
How did that happen? He's so talented! I thought he had a great chance of winning a gold medal!	Daw ano ka sangkol sia, kay abi ko may daku sia nga tsansa nga magdaug sing bulawan nga medalya!
If he didn't have any drug problems, he would have won.	Kon wala sia sing problema sa droga, kuntani nagdaug sia.
What? What kind of drugs was he using?	Ano nga sahi sang droga ang iya ginagamit?
He was taking steroids to make him stronger and faster.	Nagakuha sia sing mga bulong nga pang - anestisya agod mangin mas mabaskog sia kag madasig.
They are. The only reason they didn't disqualify him until after the race is because the results from the text only came back afterwards.	Ang lamang nga rason kon ngaa wala nila sia gin - abusuhan tubtob nga nag - abot ang palumba bangod ang resulta gikan sa teksto nagbalik lamang pagkatapos.
That's so disappointing. I don't know why top athletes would feel the need to take drugs.	Indi ko gid mahibaluan kon ngaa kinahanglan gid sang mga atleta ang droga.
Regardless of how much pressure you're under, there's never a good reason to take drugs.	Bisan pa daw ano man ka daku ang imo pag - ipit, wala gid sing maayo nga rason nga mag - inom sing droga.
Let's hope so.	Kabay pa nga maglaum kita.
Cindy, how come nearly all the prime-time TV shows are comedies?	Si, paano ang halos tanan nga programa sa TV sa tion sang tig - ilinit mga kometa?
That's because Americans love sitcoms.	Amo sina bangod ang mga Amerikano maluyagon magpungko.
Situation comedies. A sitcom is half an hour long and it airs weekly. Sitcom shows tend to be about ordinary people. If there is one thing that all the shows have in common, it is teaching wholesome values.	Ang isa ka tawo nga nagapungko sing tunga sa oras kag ang hangin kada semana nagapakita nga ang tanan nga palaguwaon pareho lang sa ordinaryo nga mga tawo.
In Taiwan, prime-time shows are an hour long and most of them aren't comedies.	Sa Taiwan, ang panguna nga mga palaguwaon sa tion sang pag - ehersisyo isa ka oras ang kalawigon kag ang kalabanan sini indi mga kometa.
I think Americans would rather laugh than cry or be scared in their free time.	Sa banta ko mas luyag sang mga Amerikano nga mag -kadlaw sangsa maghibi ukon mahadlok sa ila libre nga tion.
You're looking great.	Daw ano ka daku sang imo hitsura.
What's the matter, John? you seemed to be restless today.	Ano ang rason kon ngaa daw indi ka mapahamtang ni John subong.
You see, I've been offered a new job. I can't decide whether to take it or not.	Indi ko gid puede nga batunon ini ukon indi.
Oh, that's easy. If it's better than the one you are doing now, go for it. That's my advice.	Kon mas maayo pa sa imo subong, tilawi ini kay amo na ini ang akon laygay.
It isn't that easy. I hate to quit my present job. People around here are very nice and the work itself is challenging.	Indi man ako gusto mag - untat sa akon trabaho subong kay ang mga tawo diri tama kaayo kag mabudlay ang trabaho.
Then what about the salary? Would you get more?	Nian, ano ang himuon mo sa imo sueldo?
Yes, they say I would get a big sum.	Huo, nagasiling sila nga daku ang akon kantidad.
Have you discussed it with your wife?	Nabinagbinag mo na bala ini sa imo asawa?
Yes, she leaves it to me.	Huo, gintugyan niya ini sa akon.
As I say it the work is well worth try. After all you can get a higher salary.	Kon magsiling ako nga maayo gid ang resulta sang inyo obra, mas daku ang inyo sueldo.
I have to think about it.	Dapat ko ini hunahunaon.
Sybil. Is that spelt with an I or a Y?	Amo bala ini ang akon gina - selt ukon Y?
Both actually. S, Y, B, I, L.	Sa pagkamatuod, ang Y, B, I, L.
I see Mike farmer has make it into the Olympic team. He beat the national record by 0.1 of a second.	Nakita ko nga si Mike nga mangunguma amo ang nagapanguna sa grupo sang Olimpiada, kag ang rekord sang pungsod 0.1 sa isa pa ka segundo.
That ’ s great. He ’ s the best runner I ’ Ve seen this season. I ’ m sure he ’ ll win a medal at the Olympics.	Nakita niya ini nga tion kay sigurado gid sia nga madaug niya ang medalya sa Olimpiada.
I think you ’ re right. I think we have a very good athletics team. They should do well in the Olympics. How many medals do you think we ’ ll win?	Sa banta ko ikaw mismo ang may maayo gid nga team sa hampang.
I really don ’ t know. I don ’ t think we ’ ll win many gold medals, but I think we should win several silver and bronze ones.	Wala gid ako makahibalo kon ano ang matabo sa amon kay abi ko madamo kami sing makuha nga bulawan nga medalya, pero sa banta ko dapat namon magdaug sing pila ka pilak kag saway.
What do you think our chance are in other events.	Sa banta mo, ara man kita sa iban nga hitabo.
In the last Olympics, we did very well in swimming, cycling and ball sports. I think we ’ ll do well in those same events.	Sa katapusan nga Olimpiada, maayo gid ang amon kahimtangan sa pagpaligo, pagbisikleta kag bola nga mga isport.
We might get a gold medal in the sailing too. Our team put in a lot of practice.	Mahimo man kita makakuha sing bulawan nga medalya sa pagpanakayon.
I think we can expect to get between 30 to 40 medals in total.	Sa banta ko mapaabot naton nga makadangat kita sa 30 tubtob 40 ka medalya sa kabilugan.
You are very optimistic!	Daw ano gid ikaw ka malaumon!
It's said that John's broken up.	Ginasiling nga ang pagkabugto ni John.
Really? But his wife has always waited on him hand and foot.	Sa pagkamatuod, ang iya asawa pirme nagahulat sa iya kamot kag tiil.
I hear that John's leading a double wife.	Nabatian ko nga ang bana ni John amo ang nagapanguna sa duha ka asawa.
It's very bad of him to cheat on a lady like his wife.	Malain gid sa iya nga magdaya sa babayi kaangay sang iya asawa.
Let's play chess.	Maghampang kita sing mga lina.
I haven't played chess for a long time.	Madugay na ako nga wala nagahampang sing mga lina.
That's all right, I'm a beginner. I've just learnt how to play.	Pero, daw wala ako sing gana sa paghampang.
Look, there's a chessboard. Those two men have already finished playing.	Kon kaisa, may mga lina - ay nga nag - igo sa duha ka lalaki.
You're a very good player	Maayo gid ikaw nga humalampang
Not really, but once I won a prize.	Indi gid man, apang sang nagdaug ako nakabaton ako sing padya.
So did I. I won a prize last week but it was a prize for beginners.	Nadaug ko man ang premyo sang nagligad nga semana apang premyo ini para sa mga manug - umpisa.
My prize was for the best player in the country. Now let's start playing chess seriously.	Ang akon premyo para sa pinakamaayo nga humalampang sa pungsod, kag karon, magahampang na ako sing serioso.
Excuse me, can you tell me the name of the book you read?	Ipadala ako, masugid mo bala sa akon ang ngalan sang libro nga imo ginabasa?
Harry Potter? Is that book funny?	Maham - ot bala ini nga libro?
Actually, the language itself is not so funny, but you can imagine the scene, that's funny.	Ang matuod, ang lenguahe mismo indi gid makahalam - ot, apang mahanduraw mo ang danyag, makahalam - ot ina.
Have you ever read this book before?	Nabasa mo na bala ini nga libro?
No, but my little brother likes it very much.	Indi, apang naluyagan gid ini sang akon manghod nga lalaki.
It's really a good book. You will like it too.	Maayo gid ini nga libro kay gusto mo man ini.
I'll try to read it. Actually, I like literature very much.	Sa pagkamatuod, gusto ko gid ang mga literatura.
Wow, that sounds like a scholar. By the way, who's your favorite writer?	Daw iskolar lang ini nga si Wow kay sia ang paborito mo nga manunulat?
Me too. Pride and Prejudice is my favorite.	Ang bugal kag pagpasulabi amo man ang akon paborito.
I like it too. But Sense and Sensibility is my favorite.	Nanamian man ako sa sini, pero nanamian ako sa ila kay nanamian ako sa sini.
Hey Sandra, what's wrong? You look furious!	Kon kaisa, ang mga tawo sa inyo lugar wala na sing mahimo pa, kundi pati na ang mga tawo nga may amo sini nga balatian.
I've had it with Tim! I think I'm going to quit!	Sa banta ko, mauntat na ako!
But Sandra... you love your job! You spent months trying to get this position. It's perfect for you!	Pero, gusto mo gid nga makakita sini nga posisyon kay nanamian ka gid sini!
Yeah... I know. But I'm sick and tired of all the office power struggles!	Nahibaluan ko nga nagamasakit ako kag kapoy sa tanan nga kabudlayan sa opisina!
What kind of power struggles are you talking about?	Ano nga sahi sang mga pag - away sa gahom ang imo ginahambalan?
Basically, I think Tim is threatened by me. I'm doing a better job than he is so he's trying to sabotage my career!	Sa banta ko, mas maayo ang akon obra sangsa iya kay ginatinguhaan niya nga gub - on ang akon karera!
So he talks about you behind your back?	Gani nagahambal sia tuhoy sa imo likod?
Yes. He's all nice and friendly to my face. But the second I turn around he stabs me in the back!	Huo, mainabyanon gid sia kag mainabyanon sa akon, pero sang gin - istorya ko sia, ginsuntok niya ako!
I had a worker like that once. She was always taking credit for my ideas.	May trabahador ako sadto nga isa ka bes, pirme niya ginadayaw ang akon mga ideya.
I should keep a better record of my correspondence with the clients so if necessary I can prove it was my effort.	Dapat ko isulat sing maayo pa ang akon sulat sa mga kliyente agod mapamatud - an ko nga amo ini ang akon panikasog.
My co-worker had a whole bunch of bad office habits. She liked to name-drop... we would be in a meeting and she would say, yesterday I was chatting with Tom. She meant Tom Solomon... our CEO.	Ang akon kaupod nga manugpangabudlay may malain nga batasan sa opisina.
Man, I'm hungry. Do you know a good place to have lunch?	Ginagutom ako kay may maayo ka bala nga lugar para makapanyaga?
Yes, I know a great place. What types of food do you like?	Ano nga sahi sang pagkaon ang naluyagan mo?
Mexican, Japanese or Chinese would be great.	Madamo gid ang mga Hapones ukon Intsik.
Oh, I know a place where you might like to eat.	O, may nahibaluan ako nga duog nga luyag mo kaunon.
Is it close by?	Malapit na bala ini?
It's down a block on the right ; can I show you the way?	Isa ini ka bloke sa tuo nga bahin; mapakita ko bala sa imo ang dalan?
OK, I'd love the company.	OK lang, nanamian ako sa kompanya.
This will work out well. I'm getting hungry just thinking about it.	Maayo gid ini kay ginagutom ako kay ginapamensar ko lang ini.
have you ever been to Disneyworld?	yara ka na bala sa kalibutan sang mga Disney?
when I was young, my parents took me to the one in California. I always forget which — is that one Disneyland or Disneyworld?	Sang bata pa ako, ginadala ako sang akon mga ginikanan sa California.
the one in Florida is Disneyworld and the one in California is Disneyland, so you must have been to Disneyland.	ang isa sa Florida amo ang Disney world kag ang isa sa California amo ang Disneyland, gani mahimo nga didto ka sa Disneyland.
that's right. Why do you ask?	Ngaa?
well, I've never been to either so I was thinking of going to Disneyworld for my honeymoon.	Maayo na lang, wala ko gid ini mahunahuna amo nga nagahunahuna ako nga magkadto sa Disney World para sa akon pagkadinaber.
when are you getting married?	san - o ka magpakasal?
some time next year. We haven't set the date yet.	Mga pila ka oras sa masunod nga tuig, wala pa namon matalana ang petsa.
congratulations! I had no idea.	Wala ako sing ideya kon ano ang akon himuon.
thank you. So what do you think? Would we have a good time?	Gani, ano sa banta mo ang mangin makalilipay para sa amon?
do you like amusement parks?	Nanamian ka bala mag - enjoy sa mga parke?
for the most part, yes. Some of the rides are bit too scary for me, though.	Apang, ang kalabanan nga bahin sang mga pasahero makahaladlok gid para sa akon.
if you don't think twice about the rides and go on every ride that you can, you'll have a good time.	kon indi mo pagbinagbinagon sing maayo ang tuhoy sa pagsakay kag magpadayon sa tagsa ka pagsakay nga masarangan mo, mangin malipayon ka.
even the roller coasters that go through tunnels in the dark?	Bisan ang mga manug - ubog nga nagaagi sa mga tanel sa madulom nga bahin?
even those. It'll be very romantic, I think. You'll have loads of fun.	Bisan pa sa sini, mahimo nga romantiko gid ini, sa banta ko, makalilipay gid ini.
thanks for the advice. I'll talk to my fiance about it tonight.	Nagapasalamat gid ako kay isugid ko ini sa akon mga ginikanan subong.
It's got to be almost a year now.	Halos isa ka tuig na ini karon.
Yeah, I remember the neighborhood. Have you found a place yet?	Nadumduman ko pa bala ang inyo lugar?
Not yet. But I am still looking through the classifieds. Wish me luck.	Apang wala pa ako makatilaw sing mga marka sini, kundi gina - mescry.
Well, maybe I can help. Remember my neighbor?	Ti, basi makabulig ako, dumduma ang akon isigkatawo?
Yes, her daughter's having a baby, so she's moving in with her to help out. I think if you are interested, you can come over and have a look.	Huo, kon ang iya anak nga babayi may bata, gani naga - upod sia sa iya agod magbulig.
Great. It's a lovely neighborhood. And it would be nice to be neighbors again. It would be just like the old days!	Kag maayo gid nga kaingod mo ini liwat, kag mangin kaangay ini sang dumaan nga mga adlaw!
Are you ready to go to the mall?	Handa ka na bala magkadto sa mall?
Yeah. Dig my new pants?	Ang akon bag - o nga mga kuko amo ang Yeah.
You went out and bought khakis, too!	Nagguwa ka man kag nagbakal sing khakis!
No. Mine are a soft brown. Yours are khaki.	Ang imo mga bayo mahumok kag kaki, kag ang imo mga bayo khaki.
Have heard of Paul?	Nabatian na bala ini ni Pablo?
He's got a promotion.	Natigayon niya ang promosyon.
You're kidding.	Nagabinang - ang ka.
No, they made him vicepresident in charge of sells.	Wala, ginhimo nila sia nga biseprent nga nagadumala sa pagbaligya.
I don't believe it.He is only being with the company for two years.	Wala ako nagapati nga duha ka tuig lamang sia nga nagaupod sa kompanya.
Well, it's true.The board man last thirdly and they choice Paul.	Ti, matuod ini kay ang tawo sa board amo ang ikatlo nga bahin kag ginpili nila si Pablo.
Well.Good for him.	Maayo gid ini para sa iya.
Jeff, I'm going to the supermarket. Do you want to come with me?	Luyag mo bala mag - upod sa akon?
I think the supermarket is closed now.	Sa banta ko ang supermarket sirado na karon.
Oh, When does it close?	O, San - o ini nagahingapos?
It closes at 7:00 on Sundays.	Nagasira ini sa alas 7:00 kon Domingo.
Don't worry, we can go tomorrow morning. It opens at 8: 00.	Indi magkabalaka, mahimo kita magkadto buwas sa aga, kundi sa alas 8: 00.
Alright. What do you want to do now?	Ano ang gusto mo himuon subong?
Let's take a walk for a half an hour. My sister will get here at about 8: 30PM and then we can all go out to dinner.	Malakat kita sing tunga sa oras, kag ang akon utod nga babayi magakadto diri sa mga 8: 30PM kag dayon makaguwa kita tanan sa panihapon.
Where does she live?	Diin sia nagaistar?
She lives in San Francisco.	Nagaistar sia sa San Francisco.
How long has she lived there?	Daw ano na kadugay sia nagapuyo didto?
I think she's lived there for about 10 years.	Sa banta ko nagapuyo sia didto sing mga 10 ka tuig.
That's a long time. Where did she live before that?	Madugay na niya ini nga gin - istaran.
Hey, Peter, have you had lunch yet?	Ti, Peter, nakapanyaga ka pa bala?
No. How about you?	Kamusta ka naman?
Not yet. Let's go to that restaurant on the corner.	Indi pa. Makadto kita sa sina nga restawran sa pamusod.
What did you argue about?	Ano ang imo ginpangatarungan?
He borrowed some money from me and I needed it back. He said he didn ’ t have the money yet.	Naghulam sia sing kuarta kag kinahanglan ko ini ibalik kay nagsiling sia nga may kuarta pa sia nga don sh.
Well, he should pay you back. It’s only fair.	Ti, dapat sia magbayad sa imo liwat kay wala ini sing basihan.
Yes, but I got angry with him too quickly. He probably thought that I mistrusted him. I shouldn ’ t have got angry.	Mahimo nga naghunahuna sia nga wala ko sia pagsaligan kay basi maakig ako sa iya.
Did you lend him a lot of money?	Daku bala nga kuarta ang imo napahulam sa iya?
Not much. I had to pay an unexpected bill, so I needed the money back.	Wala gid ako sing balayran, gani kinahanglan ko ang kuarta.
Well, talk to him about it next time you see him. He probably feels as bad about it as you do. Close friends sometimes have disagreements. It’s nothing unusual. Neither of you said anything really nasty, did you?	Ti, mahimo nga nasubuan sia kon makita mo sia sa sunod nga tion, pero kon kaisa, daw indi man sia interesado sa imo.
No, we didn ’ t. I guess you ’ re right. We should patch things up.	Indi, kay abi ko ikaw ang dapat mo himuan sing yur, kundi dapat naton ini husayon.
Of course you should. You wouldn ’ t want a silly argument to ruin a long friendship, would you?	Siempre, gusto mo bala nga maguba ang madugay mo nga pag - abyanay?
I don ’ t think so. I think the government should do everything it can to discourage people from smoking.	Sa banta ko dapat himuon sang gobierno ang tanan para indi manigarilyo ang mga tawo.
Maybe so. But a law banning cigarettes will do no good.	Pero indi ini maayo kay ginadumilian sang kasuguan ang pagpanigarilyo.
No, you can ’ t suddenly make smoking illegal, but government could prohibit smoking in public places like movies and theatres.	Indi, mahimo mo nga hinali lang nga ilegal ang pagpanigarilyo, apang mahimo dumilian sang gobierno ang pagpanigarilyo sa publiko nga mga duog kaangay sang mga sine kag mga teatro.
Do you know that the dolphin is the most intelligent animal in the world?	Nahibaluan mo bala nga ang dolpin amo ang labing intelihente nga sapat sa kalibutan?
Yes. Dolphins have a big brain and they are very smart. They are also the fastest swimmers in the world.	Huo, ang mga astronomo may daku nga utok kag maalam gid sila kay sila man ang pinakamadasig maglangoy sa kalibutan.
They must be amazing animals.	Dapat ini mangin makatilingala nga mga sapat.
They are. I read a story about a dolphin saving a A from drowning in the sea.	Ginbasa ko ang istorya parte sa dolpin nga nagaluwas sang A para indi malumos sa dagat.
I read that story too. They seem to be able to understand men.	Daw maintiendihan ko man ini nga istorya kay daw nahangpan man nila ang mga tawo.
They sure can. Maybe they can interact with men better than monkeys and apes.	Mahimo nga mas maayo ang ila pagpakig - angot sa mga lalaki sangsa mga amo kag mga amu.
Could you please wait for a minute? I'll buy the tickets	Puede ka bala maghulat sing isa ka minuto, kay mabakal ko ang tiket
Here is your ticket.	Yari ang imo tiket.
The park will close soon. We Should better go in right now.	Malapit na lang ini nga parke kay dapat mas maayo nga magsulod na lang kita subong.
Yes, let's go in.	Huo, magsulod kita.
It is a new park, isn't it?	Isa ini ka bag - o nga parke, indi bala?
Yes, how do you know?	Huo, paano mo nahibaluan?
I guessed it.	Ginhaumhaum ko ini.
Well, generally speaking, the park is a window on the world history, a window on the world civilization and a window on the world's tourist attractions as well.	Ti, sa kabilugan, ang parke isa ka bintana sa maragtas sang kalibutan, isa ka bintana sa sibilisasyon sang kalibutan kag isa man ka bintana sa mga pangganyat sang turista sa kalibutan.
Oh, how wonderful!	Daw ano ka dalayawon!
I was just watching a documentary on TV about how people use dogs for various purpose. It was very interesting.	Nagatan - aw lang ako sing isa ka karatula sa TV parte sa paggamit sang ido sa lainlain nga katuyuan.
Where's Mrs. Johnson?	Diin ang Gng. Johnson?
Just call her Lisa, Mary. She's cooking dinner.	Ginatawag lang sia nga Lisa, Mary.
I see. Can I sit down?	Makalingkod bala ako?
Of course! Make yourself at home.	Siempre, mangin malipayon ka sa imo puluy - an.
Thank you, Mr. Johnson.	Salamat, G. Johnson.
Please, just call me Tom.	Palihug, tawgan ako ni Tom.
Where's Cindy?	Diin ang Sie ny?
She's upstairs in my room.	Yara sia sa ibabaw sang akon kuwarto.
Can you tell her to come downstairs? We're about to have dinner.	Masiling mo bala nga maon - an na lang naton sia?
Have you heard of Paul?	Nabatian mo na bala si Pablo?
Oh, I don't believe it. He is only being with the company for two years.	Wala ako nagapati nga duha lang ka tuig nga kaupod niya ang kompanya.
Well, it's true. The board man last thirdly and they choice Paul.	Ti, matuod ini kay ang tawo sa board amo ang ikatlo kag ginpili nila si Pablo.
Well. Good for him.	Maayo gid ini para sa iya.
Is it your first time to join the sports meeting of Junior High School?	Amo bala ini ang una mo nga tion sa pagbuylog sa miting sa isport sang Na tion al School nie?
Yes, and it's great. What are the events at the sports meeting?	Huo, kag ano gid bala ang mga hitabo sa miting sa isport?
Long-distance race, dash, hurdle race, relay race, standing long jump, high jump, shotput and so on.	Ang malawig nga palumba sang pag - usmod sang mga palumba, dash, indi makontrol nga palumba, pag - agi sa malawig nga paglukso, mataas nga paglukso, pag - igo kag iban pa.
Our neighbor, Bruce, will take part in the relay race. Let's go have a look.	Ang aton kaingod nga si Bruce, magapakigbahin sa transportation race.
The competition will begin in 5 minutes, it's tense here.	Ang paindisanay magasugod sa sulod sang 5 minutos, kundi sa sini.
Wonderful, Bruce is taking the lead.	Sing makatilingala, si Bruce nagapanguna.
Other competitors have almost caught up with him. They are neck and neck.	Ang iban nga mga manug - away halos nadakop na sa iya, kag liog na sila.
Come on, Bruce. Come on, Bruce.	Kari, Bruce.
Wow, Bruce crossed the line first.	Wow, una nga nagtabok si Bruce sa linya.
Tim ’ s smiles are interesting.	Makawiwili ang mga yuhum ni Tim witz.
Yes, they are shy and gentle but very powerful.	Huo, mahuluy - on sila kag malulo apang tuman ka gamhanan.
You are right. They sweep Nancy off her feet. And now she fell head over heels in love with him.	Gin - anod nila ang iya tiil kag nag - abot ang iya gugma sa iya.
How wonderful it would be if I had such smiles!	Daw ano ka makalilipay kon may amo ako sina nga yuhum!
Have you enjoyed your weekend?	Nalipay ka bala sa imo talipuspusan sang semana?
Yes, it's been marvelous. It really was very kind of you to invite me. I hope it hasn't been too much trouble.	Huo, dalayawon gid kay wala gid man kamo sing problema.
Not at all. We've really enjoyed having you. I hope you'll come and stay again next time you're in Changsha.	Nalipay gid kami nga kamo ang makadto kag magpabilin liwat sa Channgha.
We have a guy who plays guitar, and another who plays bass. Although we still haven ’ t found anyone to be our singer. You told me that you had some musical talent, right?	May lalaki kami nga nagahampang sing mga tyur, kag may isa pa nga nagahampang sing bases.
What would you like for Christmas?	Ano ang gusto mo nga Krismas?
I would like to have that new style Gl Joe.	Luyag ko nga matigayon inang bag - o nga estilo nga Gl Joe.
Have you asked Santa?	Napamangkot mo na bala si Santa?
Yes and I've written him a letter.	Huo, ginsulatan ko sia.
Well, Lili, we can visit different places in the state in our van 10. We are not going to take a plane or stay at a hotel this time. Trust me, it won ’ t cost much.	Ti, si Liili, maduaw namon ang lainlain nga lugar sa estado sa amon van 10. Indi kami mag - eroplano ukon magpabilin sa otel sa sini nga tion.
Let ’ s go to Chicago.We can have lunch in Chinatown.Then we can go to a ball game at Wrigley Field!	Makapanyaga kami sa Chinatown.
You have such good ideas!	May yara ikaw sinang maayong mga ideya!
What date will our field trip be on?	Ano ang petsa sang aton paglakbay sa latagon?
The science field trip is next Monday at 8 o'clock in the morning. Do you want to make note of that on your calendar?	Ang paglakbay sa latagon sang siensia masunod nga Lunes sa alas 8 sang aga, luyag mo bala talupangdon ina sa imo kalendaryo?
Yes, I will make note of that.	Huo, talupangdon ko ina.
Next Monday is December 2nd. The buses will leave at 8, but we must begin loading at 7	Ang masunod nga Lunes amo ang Disiembre 2 sang Disiembre, ang mga bus magahalin sa 8, apang dapat kita magsugod sa pagkarga sa 7
I will be there half an hour early.	Mangin didto ako sing tunga sa oras sing temprano.
You might want to tell whoever is picking you up that you will return on December 8th. Do you have a ride?	Mahimo mo isugid sa iban nga may nagapupo sa imo nga mabalik ka sa Disiembre 8 kag nagasakay ka bala?
Yes, someone is picking me up.	Huo, may nagapupo sa akon.
To get back to campus by 8	Agod makabalik sa eskwelahan sing 8
Not at the moment — maybe later, though.	Apang, mahimo nga indi pa ini matabo.
All of the extra information that you need is on the bulletin board in the hallway. See you on Monday!	Ang tanan nga dugang pa nga impormasyon nga kinahanglan mo amo ang sa sulod sang mga suba sa idalom sang dalan.
The acting of this film is marvelous in spite of the thin plot.	Ang paghimo sini nga pelikula makatilingala walay sapayan sang manipis nga buko.
I'm sorry for hero.	Ginakasubo ko ang baganihan.
I don't think there's any excuse for his acting in some parts.	Sa banta ko wala sing balibad ang iya pagpanghikot sa pila ka bahin.
Don't be too critical. We can't expect it to be perfect.	Indi kita dapat magpaabot nga mangin perpekto gid ini.
How was your business trip?	Paano ka naglakbay?
Great - they wined and dined us all week.	Gin - alak nila kami kag gin - inom sa bug - os nga semana.
Nice to meet you here.How come you dropped into this company today?	Paano ka makaupod ni Nice?
My boss sent me here to take some business documents back to his office. I didn't know you were working here.What a surprise.How long have you been doing this?	Wala ako kabalo nga nagatrabaho ka diri kay daw ano na kadugay?
Two years or so.	Duha ka tuig ukon kapin pa.
That is great.Do you have to work the night shift?	Kinahanglan mo bala magtrabaho sa gab - i?
No, in most cases I don't have to unless there is something urgent to deal with. I work five days a week.	Indi, sa kalabanan nga kaso indi ko na kinahanglan nga indi na kinahanglan nga mangin hilingagawon pa luwas kon may butang nga dapat atubangon.
Do you enjoy work here?	Nanamian ka bala magtrabaho diri?
It is hard to say.But I've to start by working as a trainee before I really become an experienced marketing assistant.Sometimes, I am really under great pressure when it gets busy.	Pero nabudlayan ako mag - obra subong manugpangabudlay antes ako mangin eksperiensiado nga kabulig sa negosyo.
Take it easy. I'm sure you will gain enough experience while working as a marketing assistant. I hope you haven't been given much trouble in the job.	Sigurado ako nga makatigayon ka sing bastante nga eksperiensia samtang nagatrabaho subong kabulig sa negosyo, kay basi wala ka pa ginhatagan sing daku nga problema sa trabaho.
Luckily not.The silent I meet are generally very friendly and have a good boss.	Ang paghipos nga akon nakilala masami nga mainabyanon gid kag maayo ang akon boss.
Glad to hear that.	Nalipay gid ako nga mabatian ini.
Scientists have found a second solar system in the universe.	Nasapwan sang mga sientipiko ang ikaduha nga solar system sa uniberso.
What's the second solar system?	Ano ang ikaduha nga solar system?
It's just a system like ours, with a star and a number of planets going around it.	Isa lamang ini ka sistema kaangay naton, nga may bituon kag madamo nga planeta nga nagalibot sa sini.
Is this good news or bad news?	Maayong balita bala ukon malain nga balita?
It's exciting news! If we find a second solar system, we might find a second earth!	Kon makakita kita sing ikaduha nga solar system, mahimo nga makakita kita sing ikaduha nga duta!
You mean with people on it?	Ang buot mo silingon sa mga tawo sa sini?
Yes! Isn't that exciting?	Indi bala makakulunyag gid ini?
Well, no, it can ’ t be that hard! I mean, all you have to do is explain your business, how you are going to do things and that ’ s it, right?	Ti, indi, mahimo nga amo sina kabudlay ang yuna, buot ko silingon, ang lamang nga himuon mo amo ang ipaathag ang imo negosyo, paano ka magahimo sing mga butang kag ina nga pag - usisa magatadlong sini, husto?
I hear that Mary got mad.	Nabatian ko nga naakig si Mary.
So I heard.	Gani nabatian ko.
What ’ s wrong with her?	Ano ang malain sa iya?
She went over the edge after her son was killed in an accident.	Nagpalapit sia sa higad sang bukid sang napatay ang iya anak nga lalaki sa aksidente.
Um, what will you do this weekend?	Um, ano ang himuon mo sa sini nga talipuspusan sang semana?
How about a movie? We haven't done that for a while.	Wala namon ini ginhimo sa makadali.
A movie? Sure. Do you know what's on right now?	Sigurado bala nga nahibaluan mo na kon ano ang nagakatabo subong?
No. Why don't you check out the newspaper?	Ngaa indi mo pag - usisaon ang pamantalaan?
Ok. Maybe you should invite your sister along, too.	Mahimo man nga agdahon mo ang imo utod nga babayi.
What ’ s on TV tonight?	Anong mga balita ang makita sa TV tubtob sa gab - i?
Not much, that new reality-TV show, Ally McNeal, oooo, Dark Angel.	Indi subong sini, inang bag - o nga katunayan nagapakita, Ally McNonal, ooooo, Akrk Eel.
Wait a second. I want to watch Ally McNeal.	Gusto ko man nga magtan - aw sing Ally McNonal.
Oh, come on. That ’ s such a girl ’ s show.	Ti, tilawi nga  - i - yuk ang amo sina nga babayi nga naga - scring.
No It’s not. It’s just funny.	Wala ini nagakahulugan nga makahalam - ot lang ini.
